trial,stimulus,chosen_action,correct_action,is_correct,accuracy
241,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.995850622406639
242,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9958677685950413
243,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9958847736625515
244,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9959016393442623
245,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9959183673469387
246,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9959349593495935
247,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9959514170040485
248,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9959677419354839
249,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9959839357429718
250,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.996
251,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9960159362549801
252,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.996031746031746
253,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9960474308300395
254,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9960629921259843
255,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.996078431372549
256,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.99609375
257,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9961089494163424
258,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9961240310077519
259,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9961389961389961
260,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9961538461538462
261,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9961685823754789
262,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9961832061068703
263,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9961977186311787
264,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9962121212121212
265,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9962264150943396
266,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9962406015037594
267,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9962546816479401
268,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.996268656716418
269,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9962825278810409
270,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9962962962962963
271,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.996309963099631
272,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9963235294117647
273,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9963369963369964
274,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9963503649635036
275,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9963636363636363
276,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9963768115942029
277,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9963898916967509
278,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9964028776978417
279,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.996415770609319
280,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9964285714285714
281,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.99644128113879
282,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9964539007092199
283,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9964664310954063
284,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9964788732394366
285,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9964912280701754
286,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9965034965034965
287,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9965156794425087
288,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9965277777777778
289,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9965397923875432
290,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.996551724137931
291,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9965635738831615
292,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9965753424657534
293,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9965870307167235
294,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9965986394557823
295,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9966101694915255
296,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9966216216216216
297,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9966329966329966
298,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9966442953020134
299,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9966555183946488
300,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9966666666666667
